url,description,areas,levels,title,company,locations,expire_at,slug,is_homebased
https://untalent.org/jobs/associe-des-operations-tillabery-niger-g6,"**The Position:**

L’Assistant aux opérations fournit des services d'appui aux Programmes et aux Opérations du sous- bureau de la Région de Tillabéry, en contribuant à l’élaboration et la mise en œuv…",[],[{'name': 'Senior'}],"Associé des Opérations, Tillabery, Niger, G6",{'name': 'United Nations Population Fund'},[],2025-03-19T05:59:00+00:00,associe-des-operations-tillabery-niger-g6,
https://untalent.org/jobs/associe-e-des-ressources-humaines-niamey-niger-g6,"**Le Poste**

L’Associé (e) administratif (ve) chargé (e) des ressources humaines assure la gestion opérationnelle des ressources humaines dans le respect des politiques, règles et procédures établie…",[],[{'name': 'Senior'}],"Associé(e) des Ressources Humaines, Niamey, Niger, G6",{'name': 'United Nations Population Fund'},"[{'name': 'Niamey', 'latitude': 13.524834, 'longitude': 2.109823}]",2025-03-19T05:57:00+00:00,associe-e-des-ressources-humaines-niamey-niger-g6,
https://untalent.org/jobs/associe-e-en-communication-niamey-niger-g6,"**Le poste :**

L'Associé en communication contribue de manière substantielle à la visibilité des interventions de UNFPA en déployant les meilleures options technologiques en matière d’images et d’ut…",[],[{'name': 'Senior'}],"Associé(e) en Communication, Niamey, Niger, G6",{'name': 'United Nations Population Fund'},"[{'name': 'Niamey', 'latitude': 13.524834, 'longitude': 2.109823}]",2025-03-19T05:54:00+00:00,associe-e-en-communication-niamey-niger-g6,
https://untalent.org/jobs/national-post-programme-analyst-gender-erbil-iraq-nob,"**The Position:**

The Programme Analyst analyses and assesses relevant political, social and economic trends, guiding and facilitating the delivery of UNFPA’s programmes in the field of Gender/GBV. …",[],"[{'name': 'Mid'}, {'name': 'Entry'}]","National Post: Programme Analyst, Gender, Erbil, Iraq-NOB",{'name': 'United Nations Population Fund'},"[{'name': 'Erbil', 'latitude': 36.1911624, 'longitude': 44.0094652}]",2025-03-18T16:59:00+00:00,national-post-programme-analyst-gender-erbil-iraq-nob,
https://untalent.org/jobs/programme-specialist-cholera-response-coordinator-p3-maputo-mozambique-131483-6-months,"UNICEF works in over 190 countries and territories to save children’s lives, defend their rights, and help them fulfill their potential, from early childhood through adolescence.

At UNICEF, we are c…","{'0': {'name': 'Programme & Policy'}, '2': {'name': 'Medical & Health'}}","[{'name': 'Mid'}, {'name': 'Senior'}]","Programme Specialist (Cholera Response Coordinator), P3, Maputo, Mozambique #131483 ( - 6 months)","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Maputo', 'latitude': -25.966213, 'longitude': 32.56745}]",2025-03-16T21:55:00+00:00,programme-specialist-cholera-response-coordinator-p3-maputo-mozambique-131483-6-months,
https://untalent.org/jobs/consultancy-wasting-cascade-guideline-writer-consultant-req,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…","[{'name': 'Monitoring & Evaluation'}, {'name': 'Programme & Policy'}]",[{'name': 'Consultant'}],Consultancy: Wasting Cascade Guideline Writer Consultant - Req,"{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'New York', 'latitude': 40.7127281, 'longitude': -74.0060152}]",2025-03-15T03:55:00+00:00,consultancy-wasting-cascade-guideline-writer-consultant-req,
https://untalent.org/jobs/international-consultant-for-inclusive-education-project-beijing-china-60-working-days-remote,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…","[{'name': 'Programme & Policy'}, {'name': 'Teaching & Training'}]",[{'name': 'Consultant'}],"International Consultant for Inclusive Education Project, Beijing, China, 60 working days (remote)","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Beijing', 'latitude': 39.906217, 'longitude': 116.3912757}]",2025-03-11T15:55:00+00:00,international-consultant-for-inclusive-education-project-beijing-china-60-working-days-remote,True
https://untalent.org/jobs/messenger-gs-2-post-18226-unicef-vientiane-lao-pdr-open-to-laotian-national-only,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…",[{'name': 'Admin'}],"[{'name': 'Mid'}, {'name': 'Entry'}]","Messenger, GS-2 Post #18226 UNICEF Vientiane, Lao PDR (Open to Laotian National Only)","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Vientiane', 'latitude': 17.9640988, 'longitude': 102.6133707}]",2025-03-18T16:55:00+00:00,messenger-gs-2-post-18226-unicef-vientiane-lao-pdr-open-to-laotian-national-only,
https://untalent.org/jobs/immunization-officer-ebola-and-mpox-vaccination-nob-kampala-131989-temp-appointment-3-months,"UNICEF works in over 190 countries and territories to save children’s lives, defend their rights, and help them fulfill their potential, from early childhood through adolescence.

At UNICEF, we are c…","[{'name': 'Programme & Policy'}, {'name': 'Medical & Health'}]",[{'name': 'Entry'}],"Immunization Officer (Ebola and mpox vaccination), NOB, Kampala #131989 (Temp Appointment-3 months)","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Kampala', 'latitude': 0.3177137, 'longitude': 32.5813539}]",2025-03-11T20:55:00+00:00,immunization-officer-ebola-and-mpox-vaccination-nob-kampala-131989-temp-appointment-3-months,
https://untalent.org/jobs/child-protection-officer-no-1-kharkiv-ukraine,"UNICEF works in over 190 countries and territories to save children’s lives, defend their rights, and help them fulfill their potential, from early childhood through adolescence.

At UNICEF, we are c…",[{'name': 'Programme & Policy'}],[{'name': 'Entry'}],"Child Protection Officer, NO-1, Kharkiv, Ukraine","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Kharkiv', 'latitude': 49.9902794, 'longitude': 36.2303893}]",2025-03-12T21:55:00+00:00,child-protection-officer-no-1-kharkiv-ukraine,
https://untalent.org/jobs/consultant-insights-strategy-consultant-6-months-home-based-remotely-audience-and-market-insights-pfp-geneva,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…",[{'name': 'Communications & PR'}],[{'name': 'Consultant'}],"Consultant – Insights Strategy Consultant, (6 months, home-based, remotely) Audience and Market Insights, PFP, Geneva","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Geneva', 'latitude': 46.2017559, 'longitude': 6.1466014}]",2025-03-18T22:55:00+00:00,consultant-insights-strategy-consultant-6-months-home-based-remotely-audience-and-market-insights-pfp-geneva,True
https://untalent.org/jobs/consultant-international-charge-de-la-coordination-des-activites-de-riposte-contre-la-poliomyelite-au-burkina-faso-122-jours,L’UNICEF travaille dans certains des endroits les plus difficiles du monde pour atteindre les enfants les plus défavorisés du monde. Pour sauver leurs vies. Pour défendre leurs droits. Pour les aider…,"[{'name': 'Programme & Policy'}, {'name': 'Medical & Health'}]",[{'name': 'Consultant'}],"Consultant international chargé de la coordination des activités de riposte contre la Poliomyélite au Burkina Faso, 122 jours","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Ouagadougou', 'latitude': 12.3681873, 'longitude': -1.5270944}]",2025-03-12T23:55:00+00:00,consultant-international-charge-de-la-coordination-des-activites-de-riposte-contre-la-poliomyelite-au-burkina-faso-122-jours,
https://untalent.org/jobs/recrutement-7-chauffeurs-gs2-pour-les-bureaux-de-ndjamena-mongo-moundou-et-bol-contrat-fixed-term,"L’UNICEF travaille dans certains des endroits les plus difficiles du monde, pour atteindre les enfants les plus défavorisés du monde. Pour leur sauver la vie. Pour défendre leurs droits. Pour les aid…",[{'name': 'Admin'}],"[{'name': 'Mid'}, {'name': 'Entry'}]","Recrutement 7 chauffeurs GS2 pour les bureaux de N'Djamena, Mongo, Moundou et Bol - Contrat Fixed Term","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Mongo', 'latitude': 9.9459325, 'longitude': -11.4932924}]",2025-03-18T22:55:00+00:00,recrutement-7-chauffeurs-gs2-pour-les-bureaux-de-ndjamena-mongo-moundou-et-bol-contrat-fixed-term,
https://untalent.org/jobs/international-consultant-for-childrens-environmental-health-ceh-assessment-in-cameroon-wcar-home-based-and-workdays-in-country,"UNICEF works in some of the world’s toughest places, to reach the world’s most disadvantaged children. To save their lives. To defend their rights. To help them fulfill their potential.

Across 190 c…","[{'name': 'Medical & Health'}, {'name': 'Programme & Policy'}]",[{'name': 'Consultant'}],"International Consultant for Children’s Environmental Health (CEH) Assessment in Cameroon (WCAR), Home-based and workdays in country","{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Yaoundé', 'latitude': 3.8689867, 'longitude': 11.5213344}]",2025-03-18T22:55:00+00:00,international-consultant-for-childrens-environmental-health-ceh-assessment-in-cameroon-wcar-home-based-and-workdays-in-country,True
https://untalent.org/jobs/heritage-specialist-homebased-retainer,"Background Information - Job-specific
-------------------------------------

 
**Background Information: Technical Services Unit (TSU)**

The Technical Services Unit (TSU) engages in multidisciplinar…",[{'name': 'Leadership'}],"[{'name': 'Senior'}, {'name': 'Mid'}]",Heritage Specialist (Homebased Retainer),"{'name': 'United Nations Office for Project Services', 'slug': 'unops'}",[],2025-03-20T23:59:00+00:00,heritage-specialist-homebased-retainer,True
https://untalent.org/jobs/pharmacist-26,"The UNV assignment will be part of the WHO Country Office for Myanmar, Health Cluster and Humanitarian Structure. The mission of the Health Cluster is to collectively prepare for and responds to huma…",[{'name': 'Medical & Health'}],[{'name': 'Volunteering'}],Pharmacist,"{'name': 'World Health Organization', 'logo_url': 'https://www.who.int/images/default-source/infographics/who-emblem.png'}","[{'name': 'Yangon', 'latitude': 16.7967129, 'longitude': 96.1609916}]",2025-03-19T00:00:00+00:00,pharmacist-26,False
https://untalent.org/jobs/futures-and-inclusion-engagement-officer-1,This assignment is part of UNV’s disability inclusion strategy. UNV seeks to 1) provide opportunities for persons with disabilities to serve as UN Volunteers 2) enable UN partners to expand diversity…,[{'name': 'Communications & PR'}],[{'name': 'Volunteering'}],Futures and Inclusion Engagement Officer,"{'name': 'United Nations Development Programme', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/9/9f/UNDP_logo.svg'}","[{'name': 'Suva', 'latitude': -18.1415884, 'longitude': 178.4421662}]",2025-03-19T00:00:00+00:00,futures-and-inclusion-engagement-officer-1,False
https://untalent.org/jobs/movement-control-assistant-119,"UNMISS was established in 2011 under the auspices of the UN Department of Peacekeeping Operations (DPKO); subsequently, UNMISS mandate has been renewed through resolutions 2057 (2012), 2109 (2013), 2…","{'0': {'name': 'Logistics & Procurement'}, '2': {'name': 'Admin'}}",[{'name': 'Volunteering'}],Movement Control Assistant,"{'name': 'United Nations Mission in the Republic of South Sudan', 'slug': 'unmiss'}","[{'name': 'Juba', 'latitude': 4.8472017, 'longitude': 31.5951655}]",2025-03-19T00:00:00+00:00,movement-control-assistant-119,False
https://untalent.org/jobs/electoral-advisors-logistics-and-operations,"CONTEXTE DE L'AFFECTATION

Préoccupée par la crise sécuritaire, humanitaire, politique et des droits de l'homme, la République centrafricaine et ses incidences régionales, le Conseil de sécurité auto…",[{'name': 'Logistics & Procurement'}],[{'name': 'Volunteering'}],Electoral Advisors (Logistics and Operations),{'name': 'Mission intégrée pour la stabilisation en République centrafricaine'},"[{'name': 'Bangui', 'latitude': 4.3907153, 'longitude': 18.5509126}]",2025-03-19T00:00:00+00:00,electoral-advisors-logistics-and-operations,False
https://untalent.org/jobs/public-information-officer-324,"The position is located in the Communications & Public Information Section, CPIS, within the United Nations Mission in the Republic of South Sudan (UNMISS) in Juba. Juba is classified in the ""E"" cate…","[{'name': 'Communications & PR'}, {'name': 'Admin'}]",[{'name': 'Volunteering'}],Public Information Officer,"{'name': 'United Nations Mission in the Republic of South Sudan', 'slug': 'unmiss'}","[{'name': 'Juba', 'latitude': 4.8472017, 'longitude': 31.5951655}]",2025-03-19T00:00:00+00:00,public-information-officer-324,False
https://untalent.org/jobs/learning-to-earning-officer,"Cabo Delgado in Northern Mozambique faces significant challenges stemming from ongoing conflict, climate-related disasters, and socio-economic vulnerabilities. These crises have displaced thousands o…",[{'name': 'Teaching & Training'}],[{'name': 'Volunteering'}],Learning-to-Earning Officer,"{'name': ""United Nations Children's Fund"", 'slug': 'unicef', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Logo_of_UNICEF.svg'}","[{'name': 'Pemba', 'latitude': -5.1690625, 'longitude': 39.7994251}]",2025-03-19T00:00:00+00:00,learning-to-earning-officer,False
